考点ID,版本ID,学段,L1(范围),L2(模块),L3(主题),L4(原子考点),是否启用学段版本,适用学段,版本语义描述,挂载知识点(必要),挂载知识点(可选),依赖强度,策略前置,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,主思想ID,次要思想ID,考法本体UI,核心算力要求,次要算力/变式方向,D1核心数学模型,D2思维路径,I信息隐蔽度,C考点复合度,Ch认知通道
KF-0001,KF-0001-V1,低年级,课内,数与代数,整数加减法,一图两式(加法),否,1,一图两式加法的图文转换,KP-0044|KP-0008|KP-0019,,0.85|0.90|0.85,,人教版,1,上,2,1-5的认识和加减法,4,加法,ID-401,,图文结合,ALG_L2,纯数值计算; 图中信息不完整,PART_WHOLE,D2_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0002,KF-0002-V1,低年级,课内,数与代数,整数加减法,一图两式(减法),否,1,一图两式减法的图文转换,KP-0045|KP-0009|KP-0020,,0.85|0.90|0.85,,人教版,1,上,2,1-5的认识和加减法,5,减法,ID-401,,图文结合,ALG_L3,纯数值计算; 图中信息不完整,PART_WHOLE,D2_REVERSE_SINGLE,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0003,KF-0003-V1,低年级,课内,数与代数,整数加减法,一图四式(加减互逆),否,1,加减互逆关系的理解,KP-0044|KP-0045|KP-0019|KP-0020,,0.80|0.80|0.85|0.85,,人教版,1,上,2,1-5的认识和加减法,6,加减互逆,ID-401,,图文结合,ALG_L3,多步倒推; 纯数值计算,PART_WHOLE,D4_REVERSE_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0004,KF-0004-V1,低年级,课内,数与代数,整数加减法,大括号求总数,否,1,大括号表示求和的符号认知,KP-0044|KP-0019,,0.90|0.85,,人教版,1,上,2,1-5的认识和加减法,4,加法,ID-401,,图文结合,ALG_L2,纯数值计算; 图中信息不完整,PART_WHOLE,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0005,低年级,课内,数与代数,整数加减法,大括号求部分,去掉模型、6~10的减法(L3),ID-401 [图解算理],,纯文本/算式,KP-0045|KP-0020,多步倒推,,,,,,,,,,ID-202,,纯文本/算式,ALG_L3,,PART_WHOLE,D2_REVERSE_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0006,低年级,课内,数与代数,整数加减法,看情境图列算式,合并模型、去掉模型(L4),ID-401 [图解算理],,图文结合,KP-0044|KP-0045,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-202,,纯文本/算式,ALG_L4,,PART_WHOLE,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0007,低年级,课内,数与代数,整数加减法,填运算符号(加减),合并模型、去掉模型等(L2),ID-901 [组合枚举],,纯文本/算式,KP-0044|KP-0045|KP-0019|KP-0020,从结果反推,,,,,,,,,,ID-202,,纯文本/算式,ALG_L3,,PART_WHOLE,D2_REVERSE_SINGLE,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0008,低年级,课内,数与代数,整数加减法,算式比大小(不计算),6~10的比大小、合并模型等(L4),ID-602 [极值与估算],,纯文本/算式,KP-0017|KP-0044|KP-0045,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-202,,纯文本/算式,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0009,低年级,课内,数与代数,整数乘除法,相同加数连加改写乘法,乘法的意义、10以内的连加(L1),ID-202 [算理转化],,纯文本/算式,KP-0086|KP-0021,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-202,,纯文本/算式,ALG_L1,,EQUAL_GROUP,D1_FORWARD_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0010,低年级,课内,数与代数,整数除法,有余数除法(求商和余数),有余数除法的竖式计算、余数与除数的关系(L1),ID-401 [图解算理],,纯文本/算式,KP-0104|KP-0102,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-801,,纯文本/算式,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0011,低年级,课内,数与代数,整数除法,有余数除法的现实约束,有余数除法的竖式计算、余数与除数的关系等(L4),ID-602 [极值与估算],,纯文本/算式,KP-0104|KP-0102|KP-0101,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-801,,纯文本/算式,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0012,低年级,课内,数与代数,数的认识,在数轴上填数,100以内数的读写、万以内数的组成(L3),ID-401 [图解算理],,图文结合,KP-0049|KP-0108,纯数值计算; 图中信息不完整,,,,,,,,,,ID-901,,纯文本/算式,ALG_L3,,NUMBER_SYSTEM,D2_REVERSE_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0013,低年级,课内,数与代数,数的认识,位值图读写数,100以内数的组成、亿以内数的计数单位与数位顺序(L3),ID-401 [图解算理],,图文结合,KP-0048|KP-0224,纯数值计算; 图中信息不完整,,,,,,,,,,ID-901,,纯文本/算式,ALG_L3,,NUMBER_SYSTEM,D2_REVERSE_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0014,低年级,课内,数与代数,数的认识,百数表中的规律,100以内数的数法、100以内数的比大小(L4),ID-403 [数阵规律],,表格/阵列,KP-0047|KP-0050,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-901,,纯文本/算式,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0015,低年级,课内,数与代数,数的比较,已知大小关系估量数据,万以内数的比大小、100以内数的比大小(L4),ID-602 [极值与估算],,纯文本/算式,KP-0112|KP-0050,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-901,,纯文本/算式,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
